ID,DRF,CFW,STPM
1,0.2,0.005,0.001
2,0.2,0.005,0.0025
3,0.2,0.005,0.004
4,0.2,0.005,0.0055
5,0.2,0.005,0.006999999999999999
6,0.2,0.005,0.008499999999999999
7,0.2,0.005,0.009999999999999998
8,0.2,0.01,0.001
9,0.2,0.01,0.0025
10,0.2,0.01,0.004
11,0.2,0.01,0.0055
12,0.2,0.01,0.006999999999999999
13,0.2,0.01,0.008499999999999999
14,0.2,0.01,0.009999999999999998
15,0.2,0.015,0.001
16,0.2,0.015,0.0025
17,0.2,0.015,0.004
18,0.2,0.015,0.0055
19,0.2,0.015,0.006999999999999999
20,0.2,0.015,0.008499999999999999
21,0.2,0.015,0.009999999999999998
22,0.2,0.02,0.001
23,0.2,0.02,0.0025
24,0.2,0.02,0.004
25,0.2,0.02,0.0055
26,0.2,0.02,0.006999999999999999
27,0.2,0.02,0.008499999999999999
28,0.2,0.02,0.009999999999999998
29,0.2,0.025,0.001
30,0.2,0.025,0.0025
31,0.2,0.025,0.004
32,0.2,0.025,0.0055
33,0.2,0.025,0.006999999999999999
34,0.2,0.025,0.008499999999999999
35,0.2,0.025,0.009999999999999998
36,0.2,0.030000000000000002,0.001
37,0.2,0.030000000000000002,0.0025
38,0.2,0.030000000000000002,0.004
39,0.2,0.030000000000000002,0.0055
40,0.2,0.030000000000000002,0.006999999999999999
41,0.2,0.030000000000000002,0.008499999999999999
42,0.2,0.030000000000000002,0.009999999999999998
43,0.2,0.035,0.001
44,0.2,0.035,0.0025
45,0.2,0.035,0.004
46,0.2,0.035,0.0055
47,0.2,0.035,0.006999999999999999
48,0.2,0.035,0.008499999999999999
49,0.2,0.035,0.009999999999999998
50,0.2,0.04,0.001
51,0.2,0.04,0.0025
52,0.2,0.04,0.004
53,0.2,0.04,0.0055
54,0.2,0.04,0.006999999999999999
55,0.2,0.04,0.008499999999999999
56,0.2,0.04,0.009999999999999998
57,0.2,0.045,0.001
58,0.2,0.045,0.0025
59,0.2,0.045,0.004
60,0.2,0.045,0.0055
61,0.2,0.045,0.006999999999999999
62,0.2,0.045,0.008499999999999999
63,0.2,0.045,0.009999999999999998
64,0.2,0.049999999999999996,0.001
65,0.2,0.049999999999999996,0.0025
66,0.2,0.049999999999999996,0.004
67,0.2,0.049999999999999996,0.0055
68,0.2,0.049999999999999996,0.006999999999999999
69,0.2,0.049999999999999996,0.008499999999999999
70,0.2,0.049999999999999996,0.009999999999999998
71,0.4,0.005,0.001
72,0.4,0.005,0.0025
73,0.4,0.005,0.004
74,0.4,0.005,0.0055
75,0.4,0.005,0.006999999999999999
76,0.4,0.005,0.008499999999999999
77,0.4,0.005,0.009999999999999998
78,0.4,0.01,0.001
79,0.4,0.01,0.0025
80,0.4,0.01,0.004
81,0.4,0.01,0.0055
82,0.4,0.01,0.006999999999999999
83,0.4,0.01,0.008499999999999999
84,0.4,0.01,0.009999999999999998
85,0.4,0.015,0.001
86,0.4,0.015,0.0025
87,0.4,0.015,0.004
88,0.4,0.015,0.0055
89,0.4,0.015,0.006999999999999999
90,0.4,0.015,0.008499999999999999
91,0.4,0.015,0.009999999999999998
92,0.4,0.02,0.001
93,0.4,0.02,0.0025
94,0.4,0.02,0.004
95,0.4,0.02,0.0055
96,0.4,0.02,0.006999999999999999
97,0.4,0.02,0.008499999999999999
98,0.4,0.02,0.009999999999999998
99,0.4,0.025,0.001
100,0.4,0.025,0.0025
101,0.4,0.025,0.004
102,0.4,0.025,0.0055
103,0.4,0.025,0.006999999999999999
104,0.4,0.025,0.008499999999999999
105,0.4,0.025,0.009999999999999998
106,0.4,0.030000000000000002,0.001
107,0.4,0.030000000000000002,0.0025
108,0.4,0.030000000000000002,0.004
109,0.4,0.030000000000000002,0.0055
110,0.4,0.030000000000000002,0.006999999999999999
111,0.4,0.030000000000000002,0.008499999999999999
112,0.4,0.030000000000000002,0.009999999999999998
113,0.4,0.035,0.001
114,0.4,0.035,0.0025
115,0.4,0.035,0.004
116,0.4,0.035,0.0055
117,0.4,0.035,0.006999999999999999
118,0.4,0.035,0.008499999999999999
119,0.4,0.035,0.009999999999999998
120,0.4,0.04,0.001
121,0.4,0.04,0.0025
122,0.4,0.04,0.004
123,0.4,0.04,0.0055
124,0.4,0.04,0.006999999999999999
125,0.4,0.04,0.008499999999999999
126,0.4,0.04,0.009999999999999998
127,0.4,0.045,0.001
128,0.4,0.045,0.0025
129,0.4,0.045,0.004
