id   ,date,hs
1.3  ,NA  ,0.208
2.6  ,NA  ,0.169
3.9  ,NA  ,0.169
5.2  ,NA  ,0.169
6.5  ,NA  ,0.169
7.8  ,NA  ,0.169
9.1  ,NA  ,0.169
10.4 ,NA  ,0.169
11.7 ,NA  ,0.169
13   ,NA  ,0.169
14.3 ,NA  ,0.169
15.6 ,NA  ,0.156
16.9 ,NA  ,0.156
18.2 ,NA  ,0.156
19.5 ,NA  ,0.156
20.8 ,NA  ,0.156
22.1 ,NA  ,0.156
23.4 ,NA  ,0.156
24.7 ,NA  ,0.156
26   ,NA  ,0.156
27.3 ,NA  ,0.156
28.6 ,NA  ,0.169
29.9 ,NA  ,0.195
31.2 ,NA  ,0.234
32.5 ,NA  ,0.481
33.8 ,NA  ,0.793
35.1 ,NA  ,0.806
36.4 ,NA  ,0.793
37.7 ,NA  ,0.754
39   ,NA  ,0.65
40.3 ,NA  ,0.494
41.6 ,NA  ,0.403
42.9 ,NA  ,0.364
44.2 ,NA  ,0.39
45.5 ,NA  ,0.338
46.8 ,NA  ,0.221
48.1 ,NA  ,0.195
49.4 ,NA  ,0.182
50.7 ,NA  ,0.182
52   ,NA  ,0.195
53.3 ,NA  ,0.39
54.6 ,NA  ,0.754
55.9 ,NA  ,0.845
57.2 ,NA  ,0.832
58.5 ,NA  ,0.637
59.8 ,NA  ,0.429
61.1 ,NA  ,0.312
62.4 ,NA  ,0.273
63.7 ,NA  ,0.234
65   ,NA  ,0.195
66.3 ,NA  ,0.169
67.6 ,NA  ,0.169
68.9 ,NA  ,0.156
70.2 ,NA  ,0.156
71.5 ,NA  ,0.156
72.8 ,NA  ,0.156
74.1 ,NA  ,0.143
75.4 ,NA  ,0.143
76.7 ,NA  ,0.143
78   ,NA  ,0.143
79.3 ,NA  ,0.156
80.6 ,NA  ,0.182
81.9 ,NA  ,0.481
83.2 ,NA  ,0.507
84.5 ,NA  ,0.286
85.8 ,NA  ,0.247
87.1 ,NA  ,0.26
88.4 ,NA  ,0.897
89.7 ,NA  ,0.949
91   ,NA  ,1.014
92.3 ,NA  ,1.066
93.6 ,NA  ,1.079
94.9 ,NA  ,1.04
96.2 ,NA  ,0.988
97.5 ,NA  ,0.78
98.8 ,NA  ,0.832
100.1,NA  ,0.819
101.4,NA  ,0.819
102.7,NA  ,0.767
104  ,NA  ,0.767
105.3,NA  ,0.793
106.6,NA  ,0.689
107.9,NA  ,0.572
109.2,NA  ,0.65
110.5,NA  ,0.546
111.8,NA  ,0.546
113.1,NA  ,0.481
114.4,NA  ,0.351
115.7,NA  ,0.403
117  ,NA  ,0.429
118.3,NA  ,0.442
119.6,NA  ,0.481
120.9,NA  ,0.65
122.2,NA  ,0.598
123.5,NA  ,0.611
124.8,NA  ,0.533
126.1,NA  ,0.598
127.4,NA  ,0.494
128.7,NA  ,0.338
130  ,NA  ,0.338
131.3,NA  ,0.312
132.6,NA  ,0.234
133.9,NA  ,0.195
135.2,NA  ,0.182
136.5,NA  ,0.182
137.8,NA  ,0.182
139.1,NA  ,0.182
140.4,NA  ,0.169
141.7,NA  ,0.169
143  ,NA  ,0.169
144.3,NA  ,0.169
145.6,NA  ,0.169
146.9,NA  ,0.169
148.2,NA  ,0.169
149.5,NA  ,0.169
150.8,NA  ,0.169
152.1,NA  ,0.169
153.4,NA  ,0.169
154.7,NA  ,0.169
156  ,NA  ,0.169
157.3,NA  ,0.169
158.6,NA  ,0.169
159.9,NA  ,0.156
161.2,NA  ,0.156
162.5,NA  ,0.156
163.8,NA  ,0.156
165.1,NA  ,0.156
166.4,NA  ,0.156
167.7,NA  ,0.143
169  ,NA  ,0.143
170.3,NA  ,0.143
171.6,NA  ,0.143
172.9,NA  ,0.143
174.2,NA  ,0.143
175.5,NA  ,0.143
176.8,NA  ,0.143
178.1,NA  ,0.143
179.4,NA  ,0.143
180.7,NA  ,0.156
182  ,NA  ,0.169
183.3,NA  ,0.182
184.6,NA  ,0.195
185.9,NA  ,0.429
187.2,NA  ,0.741
188.5,NA  ,0.637
189.8,NA  ,0.598
191.1,NA  ,0.559
192.4,NA  ,0.598
193.7,NA  ,0.637
195  ,NA  ,0.689
196.3,NA  ,0.767
197.6,NA  ,0.767
198.9,NA  ,0.741
200.2,NA  ,0.65
201.5,NA  ,0.572
202.8,NA  ,0.624
204.1,NA  ,0.767
205.4,NA  ,0.871
206.7,NA  ,0.923
208  ,NA  ,0.936
209.3,NA  ,0.936
210.6,NA  ,0.832
211.9,NA  ,0.78
213.2,NA  ,0.975
214.5,NA  ,1.131
215.8,NA  ,1.04
217.1,NA  ,0.832
218.4,NA  ,0.702
219.7,NA  ,0.715
221  ,NA  ,0.78
222.3,NA  ,0.793
223.6,NA  ,0.715
224.9,NA  ,0.637
226.2,NA  ,0.286
227.5,NA  ,0.377
228.8,NA  ,0.195
230.1,NA  ,0.156
231.4,NA  ,0.156
232.7,NA  ,0.156
234  ,NA  ,0.156
235.3,NA  ,0.156
236.6,NA  ,0.169
237.9,NA  ,0.169
239.2,NA  ,0.169
240.5,NA  ,0.195
241.8,NA  ,0.234
243.1,NA  ,0.689
244.4,NA  ,0.533
245.7,NA  ,0.494
247  ,NA  ,0.572
248.3,NA  ,0.52
249.6,NA  ,0.481
250.9,NA  ,0.481
252.2,NA  ,0.416
253.5,NA  ,0.351
254.8,NA  ,0.299
256.1,NA  ,0.234
257.4,NA  ,0.195
258.7,NA  ,0.182
260  ,NA  ,0.182
261.3,NA  ,0.182
262.6,NA  ,0.182
263.9,NA  ,0.221
265.2,NA  ,0.858
266.5,NA  ,0.728
267.8,NA  ,0.351
269.1,NA  ,0.325
270.4,NA  ,0.208
271.7,NA  ,0.156
273  ,NA  ,0.208
274.3,NA  ,0.741
275.6,NA  ,0.741
276.9,NA  ,0.611
278.2,NA  ,0.481
279.5,NA  ,0.455
280.8,NA  ,0.403
282.1,NA  ,0.325
283.4,NA  ,0.247
284.7,NA  ,0.195
286  ,NA  ,0.273
287.3,NA  ,0.767
288.6,NA  ,0.832
289.9,NA  ,1.014
291.2,NA  ,1.105
292.5,NA  ,1.079
293.8,NA  ,0.988
295.1,NA  ,0.832
296.4,NA  ,0.715
297.7,NA  ,0.741
299  ,NA  ,0.845
