id    ,date,hs
1.25  ,NA  ,0.6
2.5   ,NA  ,0.5125
3.75  ,NA  ,0.4
5     ,NA  ,0.35
6.25  ,NA  ,0.35
7.5   ,NA  ,0.3375
8.75  ,NA  ,0.325
10    ,NA  ,0.325
11.25 ,NA  ,0.3125
12.5  ,NA  ,0.3125
13.75 ,NA  ,0.3
15    ,NA  ,0.2875
16.25 ,NA  ,0.2875
17.5  ,NA  ,0.2875
18.75 ,NA  ,0.275
20    ,NA  ,0.275
21.25 ,NA  ,0.2625
22.5  ,NA  ,0.2625
23.75 ,NA  ,0.275
25    ,NA  ,0.275
26.25 ,NA  ,0.275
27.5  ,NA  ,0.2625
28.75 ,NA  ,0.2625
30    ,NA  ,0.2625
31.25 ,NA  ,0.275
32.5  ,NA  ,0.3
33.75 ,NA  ,0.75
35    ,NA  ,0.8125
36.25 ,NA  ,0.8625
37.5  ,NA  ,0.775
38.75 ,NA  ,0.6125
40    ,NA  ,0.55
41.25 ,NA  ,0.5125
42.5  ,NA  ,0.5
43.75 ,NA  ,0.475
45    ,NA  ,0.425
46.25 ,NA  ,0.4125
47.5  ,NA  ,0.4125
48.75 ,NA  ,0.425
50    ,NA  ,0.4875
51.25 ,NA  ,0.6
52.5  ,NA  ,0.9
53.75 ,NA  ,1.1875
55    ,NA  ,1.3125
56.25 ,NA  ,1.025
57.5  ,NA  ,0.7875
58.75 ,NA  ,0.7375
60    ,NA  ,0.675
61.25 ,NA  ,0.5625
62.5  ,NA  ,0.4625
63.75 ,NA  ,0.325
65    ,NA  ,0.3
66.25 ,NA  ,0.275
67.5  ,NA  ,0.2625
68.75 ,NA  ,0.25
70    ,NA  ,0.25
71.25 ,NA  ,0.2375
72.5  ,NA  ,0.2375
73.75 ,NA  ,0.225
75    ,NA  ,0.225
76.25 ,NA  ,0.2125
77.5  ,NA  ,0.225
78.75 ,NA  ,0.25
80    ,NA  ,0.3375
81.25 ,NA  ,0.5125
82.5  ,NA  ,0.6875
83.75 ,NA  ,0.825
85    ,NA  ,1.1
86.25 ,NA  ,1.325
87.5  ,NA  ,1.4375
88.75 ,NA  ,1.4875
90    ,NA  ,1.5625
91.25 ,NA  ,1.4875
92.5  ,NA  ,1.3625
93.75 ,NA  ,1.125
95    ,NA  ,0.9125
96.25 ,NA  ,0.9
97.5  ,NA  ,0.775
98.75 ,NA  ,0.675
100   ,NA  ,0.8375
101.25,NA  ,1.0875
102.5 ,NA  ,1.15
103.75,NA  ,0.8625
105   ,NA  ,0.7625
106.25,NA  ,0.7375
107.5 ,NA  ,0.725
108.75,NA  ,0.7125
110   ,NA  ,0.7
111.25,NA  ,0.6625
112.5 ,NA  ,0.6375
113.75,NA  ,0.6375
115   ,NA  ,0.625
116.25,NA  ,0.6375
117.5 ,NA  ,0.5625
118.75,NA  ,0.5125
120   ,NA  ,0.475
121.25,NA  ,0.5
122.5 ,NA  ,0.55
123.75,NA  ,0.5125
125   ,NA  ,0.4625
126.25,NA  ,0.425
127.5 ,NA  ,0.4
128.75,NA  ,0.3875
130   ,NA  ,0.375
131.25,NA  ,0.3625
132.5 ,NA  ,0.3625
133.75,NA  ,0.35
135   ,NA  ,0.35
136.25,NA  ,0.3375
137.5 ,NA  ,0.3375
138.75,NA  ,0.325
140   ,NA  ,0.325
141.25,NA  ,0.3125
142.5 ,NA  ,0.3125
143.75,NA  ,0.3125
145   ,NA  ,0.3
146.25,NA  ,0.3
147.5 ,NA  ,0.3
148.75,NA  ,0.3
150   ,NA  ,0.3
151.25,NA  ,0.3
152.5 ,NA  ,0.2875
153.75,NA  ,0.2875
155   ,NA  ,0.275
156.25,NA  ,0.2625
157.5 ,NA  ,0.2625
158.75,NA  ,0.25
160   ,NA  ,0.25
161.25,NA  ,0.2375
162.5 ,NA  ,0.225
163.75,NA  ,0.225
165   ,NA  ,0.225
166.25,NA  ,0.225
167.5 ,NA  ,0.225
168.75,NA  ,0.2125
170   ,NA  ,0.2125
171.25,NA  ,0.2125
172.5 ,NA  ,0.2125
173.75,NA  ,0.225
175   ,NA  ,0.25
176.25,NA  ,0.2875
177.5 ,NA  ,0.725
178.75,NA  ,0.8
180   ,NA  ,0.8625
181.25,NA  ,0.85
182.5 ,NA  ,0.75
183.75,NA  ,0.75
185   ,NA  ,0.8875
186.25,NA  ,0.925
187.5 ,NA  ,0.95
188.75,NA  ,0.95
190   ,NA  ,0.925
191.25,NA  ,0.8875
192.5 ,NA  ,0.825
193.75,NA  ,0.775
195   ,NA  ,0.8375
196.25,NA  ,0.9875
197.5 ,NA  ,1.175
198.75,NA  ,1.1625
200   ,NA  ,1.175
201.25,NA  ,1.15
202.5 ,NA  ,1.0875
203.75,NA  ,1.1375
205   ,NA  ,1.35
206.25,NA  ,1.5375
207.5 ,NA  ,1.475
208.75,NA  ,1.275
210   ,NA  ,1.125
211.25,NA  ,0.925
212.5 ,NA  ,0.8
213.75,NA  ,0.7375
215   ,NA  ,0.725
216.25,NA  ,0.675
217.5 ,NA  ,0.7
218.75,NA  ,0.6625
220   ,NA  ,0.6875
221.25,NA  ,0.5625
222.5 ,NA  ,0.3875
223.75,NA  ,0.3125
225   ,NA  ,0.3
226.25,NA  ,0.3125
227.5 ,NA  ,0.3125
228.75,NA  ,0.325
230   ,NA  ,0.325
231.25,NA  ,0.3375
232.5 ,NA  ,0.525
233.75,NA  ,0.675
235   ,NA  ,0.625
236.25,NA  ,0.575
237.5 ,NA  ,0.5875
238.75,NA  ,0.6125
240   ,NA  ,0.675
241.25,NA  ,0.675
242.5 ,NA  ,0.625
243.75,NA  ,0.525
245   ,NA  ,0.4375
246.25,NA  ,0.4
247.5 ,NA  ,0.3625
248.75,NA  ,0.325
250   ,NA  ,0.325
251.25,NA  ,0.825
252.5 ,NA  ,0.8
253.75,NA  ,0.8625
255   ,NA  ,0.9125
256.25,NA  ,0.725
257.5 ,NA  ,0.6625
258.75,NA  ,0.625
260   ,NA  ,0.45
261.25,NA  ,0.3625
262.5 ,NA  ,0.3
263.75,NA  ,0.3
265   ,NA  ,0.85
266.25,NA  ,0.7125
267.5 ,NA  ,0.675
268.75,NA  ,0.6
270   ,NA  ,0.5375
271.25,NA  ,0.4
272.5 ,NA  ,0.325
273.75,NA  ,0.2875
275   ,NA  ,0.3
276.25,NA  ,0.7625
277.5 ,NA  ,0.95
278.75,NA  ,1.1875
280   ,NA  ,1.3
281.25,NA  ,1.3125
282.5 ,NA  ,1.3
283.75,NA  ,1.15
285   ,NA  ,1.025
286.25,NA  ,1.075
287.5 ,NA  ,1.1625
288.75,NA  ,1.2
290   ,NA  ,0.95
291.25,NA  ,0.6625
292.5 ,NA  ,0.5875
293.75,NA  ,0.525
295   ,NA  ,0.425
296.25,NA  ,0.425
297.5 ,NA  ,0.3
298.75,NA  ,0.5125
300   ,NA  ,0.8375
301.25,NA  ,0.9625
302.5 ,NA  ,0.9375
303.75,NA  ,0.9875
305   ,NA  ,0.9875
306.25,NA  ,1.075
307.5 ,NA  ,1.075
308.75,NA  ,0.925
310   ,NA  ,0.7125
311.25,NA  ,0.5625
312.5 ,NA  ,0.475
313.75,NA  ,0.4125
315   ,NA  ,0.3625
316.25,NA  ,0.3375
317.5 ,NA  ,0.3625
318.75,NA  ,0.375
320   ,NA  ,0.325
321.25,NA  ,0.3
322.5 ,NA  ,0.5375
323.75,NA  ,0.9875
325   ,NA  ,1.1
326.25,NA  ,0.925
327.5 ,NA  ,0.775
328.75,NA  ,0.7875
330   ,NA  ,0.7375
331.25,NA  ,0.7875
332.5 ,NA  ,0.825
333.75,NA  ,0.8625
335   ,NA  ,0.875
336.25,NA  ,0.8
