id ,date,hs
1  ,NA  ,0.73
2  ,NA  ,0.72
3  ,NA  ,0.69
4  ,NA  ,0.69
5  ,NA  ,0.67
6  ,NA  ,0.69
7  ,NA  ,0.75
8  ,NA  ,0.8
9  ,NA  ,0.8
10 ,NA  ,0.81
11 ,NA  ,0.81
12 ,NA  ,0.76
13 ,NA  ,0.7
14 ,NA  ,0.67
15 ,NA  ,0.66
16 ,NA  ,0.62
17 ,NA  ,0.56
18 ,NA  ,0.53
19 ,NA  ,0.52
20 ,NA  ,0.72
21 ,NA  ,0.72
22 ,NA  ,0.69
23 ,NA  ,0.69
24 ,NA  ,0.68
25 ,NA  ,0.61
26 ,NA  ,0.59
27 ,NA  ,0.65
28 ,NA  ,0.7
29 ,NA  ,0.9
30 ,NA  ,1.05
31 ,NA  ,1.2
32 ,NA  ,1.28
33 ,NA  ,1.23
34 ,NA  ,1.12
35 ,NA  ,0.95
36 ,NA  ,0.77
37 ,NA  ,0.62
38 ,NA  ,0.49
39 ,NA  ,0.39
40 ,NA  ,0.31
41 ,NA  ,0.25
42 ,NA  ,0.21
43 ,NA  ,0.3
44 ,NA  ,0.43
45 ,NA  ,0.55
46 ,NA  ,0.66
47 ,NA  ,0.87
48 ,NA  ,1.03
49 ,NA  ,1.2
50 ,NA  ,1.42
51 ,NA  ,1.51
52 ,NA  ,1.48
53 ,NA  ,1.39
54 ,NA  ,1.3
55 ,NA  ,1.81
56 ,NA  ,2.29
57 ,NA  ,2.33
58 ,NA  ,2.29
59 ,NA  ,2.24
60 ,NA  ,2.18
61 ,NA  ,2.08
62 ,NA  ,1.92
63 ,NA  ,1.71
64 ,NA  ,1.41
65 ,NA  ,1.13
66 ,NA  ,0.92
67 ,NA  ,0.8
68 ,NA  ,0.75
69 ,NA  ,0.75
70 ,NA  ,0.82
71 ,NA  ,1.06
72 ,NA  ,1.14
73 ,NA  ,1.1
74 ,NA  ,1.07
75 ,NA  ,0.99
76 ,NA  ,0.88
77 ,NA  ,0.76
78 ,NA  ,0.65
79 ,NA  ,0.58
80 ,NA  ,0.53
81 ,NA  ,0.49
82 ,NA  ,0.44
83 ,NA  ,0.56
84 ,NA  ,0.97
85 ,NA  ,1.12
86 ,NA  ,1.16
87 ,NA  ,1.38
88 ,NA  ,1.68
89 ,NA  ,1.99
90 ,NA  ,2.15
91 ,NA  ,2.2
92 ,NA  ,2.19
93 ,NA  ,2.2
94 ,NA  ,2.18
95 ,NA  ,2.09
96 ,NA  ,1.97
97 ,NA  ,1.84
98 ,NA  ,1.69
99 ,NA  ,1.52
100,NA  ,1.35
101,NA  ,1.26
102,NA  ,1.22
103,NA  ,1.18
104,NA  ,1.09
105,NA  ,0.97
106,NA  ,0.85
107,NA  ,0.73
108,NA  ,0.61
109,NA  ,0.53
110,NA  ,0.48
111,NA  ,0.47
112,NA  ,0.48
113,NA  ,0.76
114,NA  ,0.89
115,NA  ,1.04
116,NA  ,1.4
117,NA  ,1.63
118,NA  ,1.64
119,NA  ,1.5
120,NA  ,1.31
121,NA  ,1.35
122,NA  ,1.39
123,NA  ,1.47
124,NA  ,1.51
125,NA  ,1.55
126,NA  ,1.54
127,NA  ,1.46
128,NA  ,1.33
129,NA  ,1.14
130,NA  ,0.96
131,NA  ,0.82
132,NA  ,0.76
133,NA  ,0.75
134,NA  ,0.73
135,NA  ,0.65
136,NA  ,0.56
137,NA  ,0.49
138,NA  ,0.43
139,NA  ,0.39
140,NA  ,0.37
141,NA  ,0.35
142,NA  ,0.32
143,NA  ,0.29
144,NA  ,0.27
145,NA  ,0.23
146,NA  ,0.21
147,NA  ,0.19
148,NA  ,0.46
149,NA  ,0.81
150,NA  ,1.25
151,NA  ,1.65
152,NA  ,2.04
153,NA  ,2.15
154,NA  ,2.18
155,NA  ,2.27
156,NA  ,2.38
157,NA  ,2.35
158,NA  ,2.23
159,NA  ,2.17
160,NA  ,2.21
161,NA  ,2.45
162,NA  ,2.76
163,NA  ,3.14
164,NA  ,3.4
165,NA  ,3.44
166,NA  ,3.25
167,NA  ,2.84
168,NA  ,2.38
169,NA  ,2.08
170,NA  ,1.87
171,NA  ,1.68
172,NA  ,1.63
173,NA  ,1.89
174,NA  ,2.05
175,NA  ,1.98
176,NA  ,2
177,NA  ,2.01
178,NA  ,1.87
179,NA  ,1.67
180,NA  ,1.42
181,NA  ,1.2
182,NA  ,1.03
183,NA  ,0.89
184,NA  ,0.8
185,NA  ,0.74
186,NA  ,0.73
187,NA  ,0.75
188,NA  ,0.81
189,NA  ,0.97
190,NA  ,1.06
191,NA  ,1.19
192,NA  ,1.24
193,NA  ,1.19
194,NA  ,1.08
195,NA  ,0.95
196,NA  ,0.82
197,NA  ,0.69
198,NA  ,0.58
199,NA  ,0.49
200,NA  ,0.41
201,NA  ,0.35
202,NA  ,0.31
203,NA  ,0.28
204,NA  ,0.31
205,NA  ,0.4
206,NA  ,0.4
207,NA  ,0.38
208,NA  ,0.36
209,NA  ,0.32
210,NA  ,0.28
211,NA  ,0.25
212,NA  ,0.22
213,NA  ,0.19
214,NA  ,0.16
215,NA  ,0.15
216,NA  ,0.66
217,NA  ,1.17
218,NA  ,1.61
219,NA  ,1.78
220,NA  ,1.63
221,NA  ,1.41
222,NA  ,1.22
223,NA  ,1.1
224,NA  ,1.03
225,NA  ,0.96
226,NA  ,0.85
227,NA  ,0.71
228,NA  ,0.56
229,NA  ,0.53
230,NA  ,0.87
231,NA  ,0.93
232,NA  ,0.85
233,NA  ,0.75
234,NA  ,0.67
235,NA  ,0.6
236,NA  ,0.54
237,NA  ,0.48
238,NA  ,0.44
239,NA  ,0.41
240,NA  ,0.39
241,NA  ,0.38
242,NA  ,0.37
243,NA  ,0.35
244,NA  ,0.33
245,NA  ,0.32
246,NA  ,0.3
247,NA  ,0.28
248,NA  ,0.27
249,NA  ,0.25
250,NA  ,0.24
251,NA  ,0.24
252,NA  ,0.3
253,NA  ,0.37
254,NA  ,0.68
255,NA  ,0.95
256,NA  ,1.43
257,NA  ,1.63
258,NA  ,1.72
259,NA  ,1.77
260,NA  ,1.88
261,NA  ,1.88
262,NA  ,1.82
263,NA  ,1.81
264,NA  ,1.95
265,NA  ,2.16
266,NA  ,2.4
267,NA  ,2.68
268,NA  ,2.91
269,NA  ,2.91
